Knesset,Party,Name,Gender,Age,Birth Year,Birth Name,Hebraized Name?,Birthplace,Type of Birth Locality,Birth Region,Birth Country,Birth Country (Present),Date of Immigration,Community,Notes
1949-1951,Mapai,Meir Argov,Male,43,1905,Meyer Grabovsky,1,Rîbnița,Town,Podolsk Governorate,Russian Empire,Moldova,1927,Ashkenazi ,
1949-1951,Mapai,Ami Assaf,Male,45,1903,Ami Vilkomitz,1,Rosh Pinna,Rural Community,Beirut Vilayet,Ottoman Empire,Israel,-,Ashkenazi ,
1949-1951,Mapai,Zalman Aran,Male,49,1899,Zalman Aharonowitz,1,Yuzovka,City,Yekaterinoslav Governorate,Russian Empire,Ukraine,1926,Ashkenazi ,
1949-1951,Mapai,Yitzhak Ben-Zvi,Male,64,1884,Izaak Shimshelevich,1,Poltava,City,Poltava Governorate,Russian Empire,Russia,1907,Ashkenazi ,
1949-1951,Mapai,Aryeh Bahir,Male,42,1906,Aryeh Geller,1,Odessa,City,Kherson Governorate,Russian Empire,Ukraine,1924,Ashkenazi ,
1949-1951,Mapai,David Bar-Rav-Hai,Male,54,1894,David Borovoi,1,Nizhyn,Town,Chernigov Governorate,Russian Empire,Ukraine,1924,Ashkenazi ,
1949-1951,Mapai,Yosef Beretz,Male,58,1890,Yosef Baratz,0,Coșnița,Village,Kherson Governorate,Russian Empire,Moldova,1906,Ashkenazi ,
1949-1951,Mapai,Haim Ben-Asher,Male,44,1904,Haim Finkel,1,Odessa,City,Kherson Governorate,Russian Empire,Ukraine,1924,Ashkenazi ,
1949-1951,Mapai,David Ben-Gurion,Male,62,1886,David Grün,1,Płońsk,Town,Płock Governorate,Congress Poland,Poland,1906,Ashkenazi ,
1949-1951,Mapai,Shmuel Dayan,Male,57,1891,Shemuel Dayan,0,Zhashkiv,Town,Kiev Governorate,Russian Empire,Ukraine,1908,Ashkenazi ,
1949-1951,Mapai,Ben-Zion Dinor,Male,65,1884,Ben-Zion Dinaburg,1,Khorol,Town,Poltava Governorate,Russian Empire,Ukraine,1921,Ashkenazi ,
1949-1951,Mapai,Hasya Drori,Female,49,1899,Hasya Kupermintz,1,Gomel,City,Mogilev Governorate,Russian Empire,Belarus,1922,Ashkenazi ,
1949-1951,Mapai,Yehiel Duvdevani,Male,52,1896,Yehiel Weinshel,1,unknown,unknown,Volhynia Governorate,Russian Empire,Ukraine,1923,Ashkenazi ,
1949-1951,Mapai,Yosef Efrati,Male,51,1897,Yosef Graiver,1,Pinsk,City,Minsk Governorate,Russian Empire,Belarus,1914,Ashkenazi ,
1949-1951,Mapai,Heshel Frumkin,Male,52,1896,Heshel Frumkin,0,Babruysk,City,Minsk Governorate,Russian Empire,Belarus,1920,Ashkenazi ,
1949-1951,Mapai,Shraga Goren,Male,50,1898,Shraga Gorohovsky,1,Makariv,Rural Community,Kiev Governorate,Russian Empire,Ukraine,1921,Ashkenazi ,
1949-1951,Mapai,Akiva Govrin,Male,46,1902,Akiva Globman,1,Shpykiv,Village,Podolsk Governorate,Russian Empire,Ukraine,1922,Ashkenazi ,
1949-1951,Mapai,Yisrael Guri,Male,55,1893,Yisrael Gurfinkel,1,Hirişeni,Village,Bessarabia Governorate,Russian Empire,Moldova,1919,Ashkenazi ,
1949-1951,Mapai,Eliyahu Hacarmeli,Male,45,1903,Eliyahu Lulu,unknown,Haifa,City,Beirut Vilayet,Ottoman Empire,Israel,-,unknown,
1949-1951,Mapai,David Hacohen,Male,50,1898,David Hacohen,1,Gomel,City,Mogilev Governorate,Russian Empire,Belarus,1907,Ashkenazi ,
1949-1951,Mapai,Neta Harpaz,Male,55,1893,Neta Goldberg,1,Kosów Lacki,Village,Siedlce Governorate,Congress Poland,Poland,1909,Ashkenazi ,
1949-1951,Mapai,Avraham Herzfeld,Male,57,1891,Avraham Postrelko,1,Stavisht,Rural Community,Kiev Governorate,Russian Empire,Ukraine,1914,Ashkenazi ,
1949-1951,Mapai,Abba Hushi,Male,50,1898,Abba Schneller,1,Turka,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Ukraine,1920,Ashkenazi ,
1949-1951,Mapai,Beba Idelson,Female,53,1895,Beba Trakhtenberg,0,Ekaterinoslav,City,Ekaterinoslav Governorate,Russian Empire,Ukraine,1926,Ashkenazi ,
1949-1951,Mapai,Eliezer Kaplan,Male,57,1891,Eliezer Kaplan,0,Minsk ,City,Minsk Governorate,Russian Empire,Belarus,1920,Ashkenazi ,
1949-1951,Mapai,Yona Kesse,Male,41,1907,Yona Kossoy,1,Dobre,Rural Community,Kherson Governorate,Russian Empire,Ukraine,1926,Ashkenazi,
1949-1951,Mapai,Yosef-Michael Lamm,Male,49,1899,Yosef-Michael Lamm,0,Wigdorowska,unknown,Kingdom of Galicia and Lodomeria,Austrian Empire,,1939,Ashkenazi,
1949-1951,Mapai,Shlomo Lavi,Male,66,1882,Shlomo Levkovich,1,Plonsk,Town,Warsaw Governorate,Congress Poland,Poland,1905,Ashkenazi,
1949-1951,Mapai,Pinhas Lavon,Male,44,1904,Pinhias Lubianiker,1,Kopychyntsi,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Ukraine,1929,Ashkenazi,
1949-1951,Mapai,Eliezer Livna,Male,46,1902,Eliezer Liebenstein,1,Łódź,City,Łódź Governorate,Russian Empire,Poland,1920,Ashkenazi,
