Knesset,Party,Name,Gender,Age,Birth Year,Birth Name,Hebraized Name?,Birthplace,Type of Birth Locality,Birth Region,Birth Country,Birth Country (Present),Date of Immigration,Community,Notes
1951-1955,Mapai,Ada Maimon,Female,57,1893,Ada Fishman,1,Mărculești,Rural Community,Bessarabia Governorate,Russian Empire,Moldova,1912,Ashkenazi,
1951-1955,Mapai,Akiva Govrin,Male,48,1902,Akiva Globman,1,Shpykiv,Village,Podolsk Governorate,Russian Empire,Ukraine,1922,Ashkenazi,
1951-1955,Mapai,Ami Assaf,Male,47,1903,Ami Vilkomitz,1,Rosh Pinna,Rural Community,Beirut Vilayet,Ottoman Empire,Israel,-,Ashkenazi ,
1951-1955,Mapai,Avraham Herzfeld,Male,59,1891,Avraham Postrelko,1,Stavisht,Rural Community,Kiev Governorate,Russian Empire,Ukraine,1914,Ashkenazi ,
1951-1955,Mapai,Baruch Osnia|,Male,45,1905,Baruch Eisenstadt,1,Pinsk,City,Minsk Governorate,Russian Empire,Belarus,1933,Ashkenazi,
1951-1955,Mapai,Beba Idelson,Female,55,1895,Beba Trakhtenberg,0,Ekaterinoslav,City,Ekaterinoslav Governorate,Russian Empire,Ukraine,1926,Ashkenazi ,
1951-1955,Mapai,Bechor-Shalom Sheetrit,Male,55,1895,Bechor-Shalom Sheetrit,0,Tiberias,Town,Beirut Vilayet,Ottoman Empire,Israel,-,Mizrahi,
1951-1955,Mapai,Haim Ben-Asher,Male,46,1904,Haim Finkel,1,Odessa,City,Kherson Governorate,Russian Empire,Ukraine,1924,Ashkenazi ,
1951-1955,Mapai,David Bar-Rav-Hai,Male,56,1894,David Borovoi,1,Nizhyn,Town,Chernigov Governorate,Russian Empire,Ukraine,1924,Ashkenazi ,
1951-1955,Mapai,David Ben-Gurion,Male,64,1886,David Grün,1,Płońsk,Town,Płock Governorate,Congress Poland,Poland,1906,Ashkenazi ,
1951-1955,Mapai,David Hacohen,Male,52,1898,David Hacohen,1,Gomel,City,Mogilev Governorate,Russian Empire,Belarus,1907,Ashkenazi ,
1951-1955,Mapai,Dvora Netzer,Female,53,1897,Dvora Nosovistzky ,1,Mena,Town,Chernigov Governorate,Russian Empire,Ukraine,1925,Ashkenazi,
1951-1955,Mapai,Dov Yosef,Male,51,1899,Bernard Joseph,1,Montreal,City,Province of Quebec,Canada,Canada,1918,Ashkenazi ,
1951-1955,Mapai,Eliezer Kaplan,Male,59,1891,Eliezer Kaplan,0,Minsk ,City,Minsk Governorate,Russian Empire,Belarus,1920,Ashkenazi ,
1951-1955,Mapai,Eliezer Livna,Male,48,1902,Eliezer Liebenstein,1,Łódź,City,Łódź Governorate,Russian Empire,Poland,1920,Ashkenazi,
1951-1955,Mapai,Eliyahu Hacarmeli,Male,47,1903,Eliyahu Lulu,unknown,Haifa,City,Beirut Vilayet,Ottoman Empire,Israel,-,unknown,
1951-1955,Mapai,Efraim Taburi,Male,50,1900,Efraim Popik,1,Tulchyn,Town,Podolsk Governorate,Russian Empire,Ukraine,1924,Ashkenazi,
1951-1955,Mapai,Golda Meir,Female,52,1898,Golda Mabovitch,1,Kiev,City,Kiev Governorate,Russian Empire,Ukraine,1921,Ashkenazi,
1951-1955,Mapai,Herzl Berger,Male,48,1904,Benjamin Herzl Berger,0,Minsk ,City,Minsk Governorate,Russian Empire,Belarus,1934,Ashkenazi,
1951-1955,Mapai,Yisrael Guri,Male,57,1893,Yisrael Gurfinkel,1,Hirişeni,Village,Bessarabia Governorate,Russian Empire,Moldova,1919,Ashkenazi ,
1951-1955,Mapai,Jenia Tversky,Female,46,1904,Genia Gintsburg,1,Baranovichi,Town,Minsk Governorate,Russian Empire,Belarus,1923,Ashkenazi,
1951-1955,Mapai,Yosef Sprinzak,Male,65,1885,Yosef Sprinzak,0,Moscow,City,Moscow Governorate,Russian Empire,Russia,1910,Ashkenazi,
1951-1955,Mapai,Kadish Luz,Male,56,1895,Kadish Luzinski,1,Babruysk,City,Minsk Governorate,Russian Empire,Belarus,1920,Ashkenazi,
1951-1955,Mapai,Levi Eshkol,Male,50,1895,Levi Yitzhak Shkolnik,1,Oratov,Town,Kiev Governorate,Russian Empire,Ukraine,1914,Ashkenazi,
1951-1955,Mapai,Meir Argov,Male,45,1905,Meyer Grabovsky,1,Rîbnița,Town,Podolsk Governorate,Russian Empire,Moldova,1927,Ashkenazi ,
1951-1955,Mapai,Mordechai Namir,Male,54,1897,Mordechai Nemirovsky,1,Nemyriv,Town,Podolsk Governorate,Russian Empire,Ukraine,1924,Ashkenazi,
1951-1955,Mapai,Moshe Sharett,Male,56,1894,Moshe Chertok,1,Kherson,City,Kherson Governorate,Russian Empire,Ukraine,1906,Ashkenazi,
1951-1955,Mapai,Peretz Naftali,Male,63,1888,Fritz Naftali,0,Berlin,City,Kingdom of Prussia,German Empire,Germany,1933,Ashkenazi,
1951-1955,Mapai,Pinhas Lavon,Male,44,1904,Pinhias Lubianiker,1,Kopychyntsi,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Ukraine,1929,Ashkenazi,
1951-1955,Mapai,Reuven Feldman,Male,51,1899,Reuven Feldman,0,Kraków ,City,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1933,Ashkenazi,
1951-1955,Mapai,Reuven Shari,Male,47,1903,Reuven Shraibman,1,Comrat,Town,Bessarabia Governorate,Russian Empire,Moldova,1925,Ashkenazi,
1951-1955,Mapai,Sarah Kafrit,Male,51,1900,Sarah Kaplan,1,Minsk ,City,Minsk Governorate,Russian Empire,Belarus,1920,Ashkenazi,
1951-1955,Mapai,Shlomo Lavi,Male,68,1882,Shlomo Levkovich,1,Plonsk,Town,Warsaw Governorate,Congress Poland,Poland,1905,Ashkenazi,
1951-1955,Mapai,Shmuel Dayan,Male,59,1891,Shemuel Dayan,0,Zhashkiv,Town,Kiev Governorate,Russian Empire,Ukraine,1908,Ashkenazi ,
1951-1955,Mapai,Zalman Shazar,Male,61,1889,Shneur Zalman Rubashov,1,Mir,Town,Minsk Governorate,Russian Empire,Belarus,1924,Ashkenazi,
1951-1955,Mapai,Ya'akov Uri,Male,63,1888,Ya'akov Zaslavsky,1,Probhorovka,Town,Poltava Governorate,Russian Empire,Russia,1910,Ashkenazi,
1951-1955,Mapai,Ya'akov Shimshon Shapira,Male,49,1902,Ya'akov Shimshon Shapira,0,Yelisavetgrad,City,Kherson Governorate,Russian Empire,Ukraine,1924,Ashkenazi,
1951-1955,Mapai,Yehezkel Hen,Male,59,1882,Yehezkel Hahn,0,Boryslav,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Ukraine,1925,Ashkenazi,
1951-1955,Mapai,Yisrael Yeshayahu,Male,44,1908,Yisrael Yeshayahu-Sharabi,0,Sadeh,Town,Yemen Vilayet,Ottoman Empire,Yemen,1929,Mizrahi,
1951-1955,Mapai,Yitzhak Ben-Zvi,Male,66,1884,Izaak Shimshelevich,1,Poltava,City,Poltava Governorate,Russian Empire,Russia,1907,Ashkenazi ,
1951-1955,Mapai,Yizhar Smilansky,Male,32,1916,Yizhar Smilansky,0,Rehovot,Rural Community,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Ashkenazi,
1951-1955,Mapai,Yona Kesse,Male,43,1907,Yona Kossoy,1,Dobre,Rural Community,unknown,Russian Empire,Ukraine,1926,Ashkenazi,
1951-1955,Mapai,Yosef Efrati,Male,53,1897,Yosef Graiver,1,Pinsk,City,Minsk Governorate,Russian Empire,Belarus,1914,Ashkenazi ,
1951-1955,Mapai,Zalman Aran,Male,51,1899,Zalman Aharonowitz,1,Yuzovka,City,Yekaterinoslav Governorate,Russian Empire,Ukraine,1926,Ashkenazi ,
1951-1955,Mapai,Ze'ev Shefer,Male,60,1891,Ze'ev Feinstein,1,Uman,City,Podolsk Governorate,Russian Empire,Ukraine,1913,Ashkenazi,
1951-1955,General Zionists,Avraham Stop,Male,53,1897,Abraham Stupp,0,Tłuste,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Ukraine,1939,Ashkenazi,
1951-1955,General Zionists,Batsheva Katznelson,Male,53,1897,Batsheva Katznelson,0,Bar,Town,Podolsk Governorate,Russian Empire,Ukraine,1911,Ashkenazi,
1951-1955,General Zionists,Ben-Zion Harel,Male,59,1892,Ben-Zion Hirshowitz,1,Kuldīga,Town,Courland Governorate,Russian Empire,Latvia,1921,Ashkenazi,
1951-1955,General Zionists,Haim Ariav,Male,55,1895,Chaim Krupsky,1,Lida,City,Vilna Governorate,Russian Empire,Belarus,1912,Ashkenazi,
1951-1955,General Zionists,Haim Boger,Male,74,1876,Haim Bograshov,1,Chernihivka,Rural Community,Taurida Governorate,Russian Empire,Ukraine,1906,Ashkenazi,
1951-1955,General Zionists,Elimelekh Rimalt,Male,43,1907,Elimelekh-Shimon Rimalt,0,Bochnia,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1939,Ashkenazi,
1951-1955,General Zionists,Ezra Ichilov,Male,44,1907,Ezra Ichilov,0,Petah Tikva,Rural Community,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Ashkenazi,
1951-1955,General Zionists,George Flash,Male,41,1909,George Flesch,0,Reșița,Town,Krassó-Szörény County,Kingdom of Hungary,Romania,1933,Ashkenazi,
1951-1955,General Zionists,Israel Rokach,Male,54,1896,Israel Rokach,0,Neve Tzedek,City,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Ashkenazi,
1951-1955,General Zionists,Nahum Het,Male,54,1896,Nahum Het,0,Odessa,City,Kherson Governorate,Russian Empire,Ukraine,1919,Ashkenazi,
1951-1955,General Zionists,Peretz Bernstein,Male,60,1890,Shlomo Fritz Bernstein,1,Meiningen,Town,Duchy of Saxe-Meiningen,German Empire,Germany,1936,Ashkenazi,
1951-1955,General Zionists,Shalom Zisman,Male,37,1914,Shalom Zysman,0,Żelechów,Town,Siedlce Governorate,Congress Poland,Poland,1933,Ashkenazi,
1951-1955,General Zionists,Shimon Bejarano,Male,40,1910,Shimon Bejarano,0,Plovdiv,City,Plovdiv District,Tsardom of Bulgaria,Bulgaria,1936,Ashkenazi,
1951-1955,General Zionists,Shlomo Perlstein,Male,48,1902,Shlomo Perlstein,0,Przemyśl,City,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1933,Ashkenazi,
1951-1955,General Zionists,Shoshana Parsitz,Female,58,1892,Rosalia Gillelovna Zlatopolsky,1,Kiev,City,Kiev Governorate,Russian Empire,Ukraine,1925,Ashkenazi,
1951-1955,General Zionists,Simha Babah,Male,48,1902,Simcha Bebe,0,unknown,unknown,unknown,unknown,Poland,1933,Ashkenazi,
1951-1955,General Zionists,Ya'akov Klivnov,Male,63,1887,Ya'akov Klivnov,0,Khalopenichy,Village,Minsk Governorate,Russian Empire,Belarus,1921,Ashkenazi,
1951-1955,General Zionists,Yosef Sapir,Male,48,1902,Yosef Sapir,0,Jaffa,Town,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Ashkenazi,
1951-1955,General Zionists,Yosef Serlin,Male,45,1906,unknown,unknown,Białystok,City,Grodno Governorate,Russian Empire,Poland,1933,Ashkenazi,
1951-1955,General Zionists,Zalman Suzayiv,Male,40,1911,Zalman Suzayev,0,Riga,City,Livonia Governorate,Russian Empire,Latvia,1935,Ashkenazi,
1951-1955,Mapam,Eliezer Peri,Male,46,1902,Eliezer Wilder-Frei,1,Surochów,Village,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1926,Ashkenazi,
1951-1955,Mapam,Hanan Rubin,Male,42,1908,Hans Rubin,1,Berlin,City,Kingdom of Prussia,German Empire,Germany,1933,Ashkenazi,
1951-1955,Mapam,Meir Ya'ari,Male,53,1897,Meyer Wald,1,Kańczuga,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1920,Ashkenazi,
1951-1955,Mapam,Mordechai Bentov,Male,50,1900,Mordechai Gutgeld,1,Grodzisk Mazowiecki,Town,Warsaw Governorate,Congress Poland,Poland,1920,Ashkenazi ,
1951-1955,Mapam,Ya'akov Hazan,Male,51,1899,Yaakov Hazan,0,Brest-Litovsk,City,Grodno Governorate,Russian Empire,Belarus,1923,Ashkenazi ,
1951-1955,Mapam,Ya'akov Riftin,Male,43,1907,Ya'akov Riftin,0,Wólka Profecka ,Village,Lublin Governorate,Congress Poland,Poland,1929,Ashkenazi,
1951-1955,Mapam,Aharon Zisling,Male,49,1901,Aharon Zisling,0,Minsk ,City,Minsk Governorate,Russian Empire,Belarus,1904,Ashkenazi,
1951-1955,Mapam,Israel Bar-Yehuda,Male,53,1895,Yisrael Idelson,1,Konotop,Town,Chernigov Governorate,Russian Empire,Ukraine,1926,Ashkenazi ,
1951-1955,Mapam,Moshe Aram,Male,54,1896,Moshe Kazanovksi,1,Lyady,Town,Mogilev,Russian Empire,Belarus,1924,Ashkenazi ,
1951-1955,Mapam,Yitzhak Ben-Aharon,Male,42,1906,Yitzhak Nussenbaum,1,Busancz,unknown,Duchy of Bukovina,Austrian Empire,Romania,1928,Ashkenazi ,
1951-1955,Mapam,David Livschitz,Male,55,1897,David Livschitz,0,Zhytomyr,City,Volhynia Governorate,Russian Empire,Ukraine,1938,Ashkenazi,
1951-1955,Mapam,Hannah Lamdan,Male,45,1905,Hannah Lerner,1,Shyrivtsi,Village,Bessarabia Governorate,Russian Empire,Moldova,1926,Ashkenazi,
1951-1955,Mapam,Adolf Berman,Male,44,1906,Adolf Avraham Berman,0,Warsaw,City,Warsaw Governorate,Congress Poland,Poland,1950,Ashkenazi,
1951-1955,Mapam,Moshe Sneh,Male,41,1909,Mosze Klaynboym,1,Radzyń,Town,Lublin Governorate,Congress Poland,Poland,1940,Ashkenazi,
1951-1955,Mapam,Rostam Bastuni,Male,28,1923,Rostam Bastuni,0,Haifa,Town,Haifa District,Mandatory Palestine,Israel,-,Christian Arab,
1951-1955,Hapoel HaMizrachi,Eliyahu-Moshe Ganhovsky,Male,49,1901,Eliyahu-Moshe Ganhovsky,0,Grajewo,Town,Łomża Governorate,Congress Poland,Poland,1932,Ashkenazi,
1951-1955,Hapoel HaMizrachi,Haim-Moshe Shapira,Male,48,1902,Haim-Moshe Shapira,0,Grodno,City,Grodno Governorate,Russian Empire,Belarus,1925,Ashkenazi,
1951-1955,Hapoel HaMizrachi,Michael Hasani,Male,38,1913,Ya'akov Kantrovich,1,Będzin,Town,Kingdom of Prussia,German Empire,Poland,1932,Ashkenazi,
1951-1955,Hapoel HaMizrachi,Moshe Kelmer,Male,49,1901,Moshe Kelmer,0,Żychlin,Town,Warsaw Governorate,Congress Poland,Poland,1921,Ashkenazi,
1951-1955,Hapoel HaMizrachi,Moshe Unna,Male,48,1902,Moshe Unna,0,Mannheim,Town,Grand Duchy of Baden,German Empire,Germany,1927,Ashkenazi,
1951-1955,Hapoel HaMizrachi,Yitzhak Rafael,Male,37,1914,Yitzhak Werfel,1,Sasiv,Village,Kingdom of Galicia and Lodomeria,Austrian Empire,Ukraine,1935,Ashkenazi,
1951-1955,Hapoel HaMizrachi,Yosef Burg,Male,41,1909,Shlomo Yosef Burg,0,Dresden,City,Kingdom of Saxony,German Empire,Germany,1939,Ashkenazi,
1951-1955,Hapoel HaMizrachi,Zerach Warhaftig,Male,44,1906,Zerach Warhaftig,0,Volkovysk,Town,Grodno Governorate,Russian Empire,Belarus,1947,Ashkenazi,
1951-1955,Herut,Aryeh Altman,Male,49,1902,Aryeh Altman,0,Balta,Town,Podolsk Governorate,Russian Empire,Ukraine,1925,Ashkenazi,
1951-1955,Herut,Aryeh Ben-Eliezer,Male,37,1913,Lipa Zaprowsky,1,Vilnius,City,Vilna Governorate,Russian Empire,Lithuania,1920,Ashkenazi ,
1951-1955,Herut,Binyamin Avniel,Male,44,1906,Binyamin Gatstein,1,Jerusalem,City,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Ashkenazi,
1951-1955,Herut,Esther Raziel-Naor,Male,39,1911,Esther Raziel,0,Smarhon,Town,Grodno Governorate,Russian Empire,Belarus,1914,Ashkenazi,
1951-1955,Herut,Haim Landau,Male,34,1916,Haim Landau,0,Kraków,City,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1935,Ashkenazi,
1951-1955,Herut,Menachem Begin,Male,35,1913,Menachem Wolfovich Begin,0,Brest-Litovsk,City,Grodno Governorate,Russian Empire,Belarus,1942,Ashkenazi ,
1951-1955,Herut,Ya'akov Meridor,Male,37,1913,Yaakov Viniarsku,1,Lipno,Town,Płock Governorate,Congress Poland,Poland,1932,Ashkenazi,
1951-1955,Herut,Yohanan Bader,Male,49,1901,Jan Bader,1,Kraków,City,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1943,Ashkenazi ,
1951-1955,Maki,Emile Habibi,Male,29,1922,Emile Habibi,0,Haifa,Town,Haifa District,Mandatory Palestine,Israel,-,Christian Arab,
1951-1955,Maki,Esther Vilenska,Female,33,1918,Esther Novick,0,Vilnius,City,Vilnius District,Kingdom of Lithuania,Lithuania,1940,Ashkenazi,
1951-1955,Maki,Meir Vilner,Male,32,1918,Dov-Ber Kovner,0,Vilnius,City,Vilnius District,Kingdom of Lithuania,Lithuania,1938,Ashkenazi ,
1951-1955,Maki,Shmuel Mikunis,Male,47,1903,unknown,unknown,Polonne,Town,Volhynia Governorate,Russian Empire,Ukraine,1921,Ashkenazi ,
1951-1955,Maki,Tawfik Toubi,Male,28,1922,Tawfik Toubi,0,Haifa,Town,Haifa District,Mandatory Palestine,Israel,-,Christian Arab,
1951-1955,Progressive Party,Avraham Granot,Male,60,1890,Abraham Granovsky,1,Făleşti,Town,Bessarabia Governorate,Russian Empire,Moldova,1907,Ashkenazi ,
1951-1955,Progressive Party,Moshe Kol,Male,40,1911,Moshe Kolodny,1,Pinsk,City,Minsk Governorate,Russian Empire,Belarus,1932,Ashkenazi,
1951-1955,Progressive Party,Pinchas Rosen,Male,63,1887,Felix Pinchas Rosenblüth,1,Berlin,City,Kingdom of Prussia,German Empire,Germany,1926,Ashkenazi ,
1951-1955,Progressive Party,Yizhar Harari,Male,32,1908,Yizhar Harari,0,Jaffa,Town,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Ashkenazi ,
1951-1955,Democratic List for Israeli Arabs,Jabr Moade,Male,32,1919,Jabr Muadi,0,Yirka,Village,Galilee District,Mandatory Palestine,Israel,-,Druze,
1951-1955,Democratic List for Israeli Arabs,Masaad Kassis,Male,32,1918,Masaad Kassis,0,Mi'ilya,Village,Occupied Enemy Territorial Administration North,Occupied Enemy Territorial Administration,Israel,-,Christian Arab,
1951-1955,Democratic List for Israeli Arabs,Seif el-Din el-Zubi,Male,37,1913,Seif-El-Din El-Zubi,0,Nazareth,Town,Beirut Vilayet,Ottoman Empire,Israel,-,Muslim Arab,
1951-1955,Agudat Yisrael,Avraham Deutsch,Male,51,1889,Avraham Deutsch,0,Adiad-Goetz,unknown,unknown,Kingdom of Hungary,unknown,1945,Ashkenazi,
1951-1955,Agudat Yisrael,Shlomo Lorincz,Male,33,1918,Shlomo Zalman Lorincz,0,Budapest,City,Pest-Pilis-Solt-Kiskun County,Kingdom of Hungary,Hungary,1939,Ashkenazi,
1951-1955,Agudat Yisrael,Yitzhak-Meir Levin,Male,57,1893,Izaak Meir Levin,1,Góra Kalwaria,Town,Warsaw Governorate,Congress Poland,Poland,1940,Ashkenazi,
1951-1955,Sephardim and Oriental Communities,Binyamin Sasson,Male,48,1903,Saleh Silas,1,Baghdad,City,Baghdad Vilayet,Ottoman Empire,Iraq,1937,Mizrahi,
1951-1955,Sephardim and Oriental Communities,Eliyahu Eliashar,Male,51,1899,Eliyahu Eliashar,0,Jerusalem,City,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Sephardi,
1951-1955,Poalei Agudat Yisrael,Binyamin Mintz,Male,48,1903,Benjamin Mintz,0,Łódź,City,Łódź Governorate,Russian Empire,Poland,1925,Ashkenazi,
1951-1955,Poalei Agudat Yisrael,Kalman Kahana,Male,40,1910,Kalman Kahana ,0,Brody,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Ukraine,1938,Ashkenazi,
1951-1955,Mizrachi,David-Zvi Pinkas,Male,55,1895,David-Zvi Pinkas,0,Sopron,City,Sopron County,Kingdom of Hungary,Hungary,1925,Ashkenazi,
1951-1955,Mizrachi,Mordechai Nurock,Male,71,1879,Mordechai Nurock,0,Tukums,Town,Courland Governorate,Russian Empire,Latvia,1947,Ashkenazi,
1951-1955,Progress and Work ,Salah-Hassan Hanifes,Male,38,1913,Salah-Hassan Hanifes,0,Shefa-'Amr,Town,Beirut Vilayet,Ottoman Empire,Israel,-,Druze,
1951-1955,Yemenite Association,Shimon Garidi,Male,38,1912,Shimon al-Garidi,1,Dhamar,Town,Yemen Vilayet,Ottoman Empire,Yemen,1920,Mizrahi,
1951-1955,Agriculture and Development,Faras Hamdan,Male,30,1910,Faras Hamdan,0,Baqa al-Gharbiyye,Village,Beirut Vilayet,Ottoman Empire,Israel,-,Muslim Arab,
1951-1955,Progressive Party,Idov Cohen,Male,41,1909,Yeshayahu Dov Cohen Wiesenfeld,1,Mihăileni,Village,Botoșani County,Kingdom of Romania,Romania,1940,Ashkenazi ,Filled vacancy left by Moshe Kol from 10/9/1951
1951-1955,Progressive Party,Yeshayahu Forder,Male,50,1901,Isaiah Forder,0,Charlottenburg,Town,Kingdom of Prussia,German Empire,Germany,1933,Ashkenazi ,Filled vacancy left by Avraham Granot from 10/9/1951
1951-1955,Herut,Eliezer Shostak,Male,39,1911,Eliezer Shostak,0,Volodymyrets,Town,Podolsk Governorate,Russian Empire,Ukraine,1935,Ashkenazi ,Filled vacancy left by Ya'akov Meridor from 2/11/1951
1951-1955,Mapai,Rachel Tzabari,Female,42,1909,Rachel Tzabri,0,Tel Aviv,Town,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Mizrahi,Filled vacancy left by Yehezkel Hen from 4/4/1952
1951-1955,Mapai,Avraham Kalfon,Male,51,1900,unknown,unknown,Tiberias,Town,Beirut Vilayet,Ottoman Empire,Israel,-,Sephardi,Filled vacancy left by Eliezer Kaplan from 13/7/1952
1951-1955,Mizrachi,Shlomo-Yisrael Ben-Meir,Male,42,1910,Israel Shlomo Rosenberg,0,Warsaw,City,Warsaw Governorate,Congress Poland,Poland,1950,Ashkenazi ,Filled vacancy left by David-Zvi Pinkas from 14/8/1952
1951-1955,Mapai,Ya'akov Nitzani,Male,52,1900,Ya'akov Chechik,0,Plovdiv,City,Plovdiv District,Principality of Bulgaria,Bulgaria,1935,Ashkenazi ,Filled vacancy left by Yitzhak Ben-Zvi from 8/12/1952
1951-1955,Mapai,Shlomo Hillel,Male,29,1923,Shlomo Hillel,0,Baghdad,City,Baghdad Liwa,Mandatory Iraq,Iraq,1934,Mizrahi,Filled vacancy left by Eliyahu Hacarmeli from 21/12/1952
1951-1955,Agudat Yisrael,Zalman Ben-Ya'akov,Male,53,1897,Zalman Yankelewicz ,1,Sieradz,Town,Petrokov Governorate,Congress Poland,Poland,1935,Ashkenazi ,Filled vacancy left by Avraham Deutsch from 24/6/1953
1951-1955,Herut,Haim Cohen-Meguri,Male,40,1913,unknown,unknown,San'aa,Town,Yemen Vilayet,Ottoman Empire,Yemen,1921,Mizrahi,Filled vacancy left by Aryeh Ben-Eliezer from 6/7/1953
1951-1955,Mapai,Baruch Kamin,Male,38,1914,Borya Kaminker,1,Akkerman,Town,Bessarabia Governorate,Russian Empire,Ukraine,1939,Ashkenazi ,Filled vacancy left by David Hacohen from 1/12/1953
